x,y,age,gender
13.58801,11.0956,0,1
9.878124,12.55918,4,1
14.65398,10.18044,0,0
15.22057,9.993003,5,0
13.16265,12.96319,4,1
13.80617,8.889046,2,1
13.10214,10.56081,4,1
11.00403,11.86713,2,0
15.15475,11.70451,0,0
11.12639,9.643859,4,1
11.7104,13.59038,4,0
12.34107,11.48214,4,1
10.58664,11.86681,0,1
14.56957,10.57711,0,1
16.56765,14.32268,3,0
9.511439,10.67225,5,1
13.33699,10.70585,5,0
15.03486,10.19459,5,1
15.13973,10.04012,0,0
10.87104,9.823215,4,1
12.54631,11.9826,2,0
11.82367,11.7979,5,0
12.19227,10.38389,2,1
13.87589,12.75045,4,0
12.30798,11.85122,0,0
10.97379,11.85359,5,1
10.98912,9.759229,5,0
13.50803,13.34022,0,1
10.80653,11.66098,4,1
12.20569,13.64252,0,0
13.89933,13.98826,2,1
12.51938,11.61548,5,0
15.74902,12.65131,2,1
12.85563,9.896143,0,0
12.98866,10.1677,0,1
13.6861,11.40649,5,0
13.08889,11.11662,0,0
13.42064,11.08226,4,0
14.75734,9.368398,5,0
13.205,13.16882,5,0
9.847669,12.53263,4,1
12.53966,12.00474,0,0
13.40522,10.24531,0,0
14.43222,11.61986,4,0
15.98592,14.18579,5,0
10.8983,12.01404,0,0
12.54032,13.41382,5,1
15.84175,12.38042,0,0
16.54906,14.34902,0,0
11.19962,8.586758,2,0
15.77734,12.17214,5,1
11.01652,9.782825,4,1
11.68324,13.5818,2,1
11.54616,12.27906,3,1
11.79539,15.07723,2,1
13.04533,13.88243,2,0
14.14244,13.1333,5,0
14.84649,10.01118,0,0
12.58271,11.01057,3,0
14.63834,12.92149,0,1
12.47289,11.21463,5,0
14.4973,8.744322,5,0
9.224811,10.83608,0,1
17.93893,7.189272,5,0
11.17129,14.73371,0,1
9.487955,10.70568,1,0
10.80275,9.933474,1,1
16.06981,14.11234,0,1
10.38257,10.56815,1,1
13.68547,8.984794,0,0
15.80461,13.92831,3,1
12.17318,11.80932,5,1
11.49627,10.73456,0,0
15.40609,11.19265,5,1
15.91103,12.20705,5,0
10.1881,11.91827,0,1
14.0004,12.77549,3,0
16.54684,11.39338,5,0
17.51501,11.22888,1,0
13.77803,8.864945,5,0
14.11088,10.56043,5,1
14.68581,11.45555,0,0
12.57377,13.43932,0,0
11.70552,10.36466,2,1
14.36912,12.55025,4,1
15.21281,16.9593,5,0
15.81613,13.89809,5,0
13.89643,12.72108,3,0
15.18307,11.5893,0,0
13.17116,12.932,5,1
12.65285,11.26382,0,1
15.13931,13.20189,1,0
12.8446,11.61027,1,0
13.55442,13.17523,2,1
14.02949,13.07497,5,0
15.43982,13.27819,3,1
14.84585,14.86907,3,1
10.27732,11.36702,5,1
10.52977,11.62937,5,0
9.933102,12.30593,0,1
14.15951,9.238947,0,1
13.61841,12.54927,0,1
14.95599,9.839847,0,1
15.69362,12.38079,1,0
9.200059,11.97217,1,0
16.83013,11.39388,0,0
13.31452,10.31512,5,0
10.56304,11.58176,5,1
8.311067,7.202524,2,0
13.39306,13.03761,3,1
14.51838,8.716039,4,0
16.80886,11.42717,1,1
14.71134,11.91757,5,1
10.31367,11.38647,4,1
13.15651,11.15159,0,0
9.083952,13.21588,3,0
15.19022,9.974836,5,1
8.436085,7.393596,4,1
15.34814,9.820333,3,1
13.31339,12.3789,3,1
13.23216,9.731717,4,0
12.55331,11.54684,3,1
13.89099,10.95253,0,1
13.49273,12.51423,1,1
15.24806,16.97276,5,1
11.58812,11.09262,5,1
9.442908,10.76749,0,1
11.36395,9.602994,2,1
11.15694,14.775,1,1
11.89653,10.2304,5,1
15.01308,10.21483,0,1
13.61045,11.49483,3,1
14.1069,13.60306,4,1
10.46296,11.20981,3,1
10.30772,9.4627,5,0
13.77892,12.69592,2,0
13.41328,12.42838,5,0
12.56326,11.04593,5,0
15.66159,13.93562,5,0
13.83545,8.909176,0,1
13.22668,12.33923,3,1
15.11869,10.0674,5,0
13.24604,10.51404,3,1
14.62721,11.42144,3,1
14.38883,10.29258,5,1
15.02184,14.11212,0,1
13.14793,10.59459,5,0
13.39042,8.81647,5,0
11.77328,9.525179,3,0
16.04067,14.35417,0,1
10.62561,10.92979,5,0
14.55994,10.6003,1,0
9.327332,12.16842,5,0
14.50837,11.50046,5,1
10.52485,12.31847,0,0
13.9858,12.80076,4,0
10.55035,11.602,5,1
10.64812,11.70659,0,0
15.7345,6.090047,1,0
11.8024,11.16029,4,0
11.76803,10.26851,5,0
11.57369,11.1289,1,1
15.76205,14.02013,4,0
10.6587,11.67938,5,1
13.40605,13.28477,5,1
11.24757,11.45161,1,0
15.53659,12.76087,5,1
14.02418,10.70804,5,0
13.39872,12.45665,5,1
14.57784,16.18932,4,1
15.32621,13.43324,5,1
14.47304,8.777501,0,1
11.39957,9.887847,4,1
12.48731,11.17735,2,1
13.78123,11.1606,0,1
10.56813,11.02786,2,0
10.53582,11.01035,0,1
14.75957,10.75233,0,0
14.2318,12.04069,5,0
13.34694,11.97577,2,1
10.43855,11.80709,0,1
12.51876,10.58196,3,0
14.99982,11.99344,5,0
10.64479,9.882927,5,1
13.12517,11.13206,0,1
10.0868,11.47022,5,0
11.2153,11.4361,5,0
12.9097,11.73742,4,1
12.17253,9.965585,0,1
12.44094,11.28124,5,1
11.9171,10.20203,0,1
11.47169,11.38392,4,0
11.65302,13.57026,5,1
12.45562,11.50935,4,1
14.77868,12.31298,5,1
14.018,12.74917,2,0
12.50406,13.39938,0,0
9.217884,12.33342,4,1
10.39745,11.306,5,1
12.74603,9.155196,5,1
9.105901,6.343998,4,1
8.342558,7.136541,0,0
15.31736,13.56758,4,0
11.18297,11.41759,5,1
11.78689,11.19158,5,0
12.7135,11.30091,0,1
11.76649,11.22997,0,0
12.17855,13.63494,5,0
12.68321,11.28437,3,1
13.62292,13.38845,3,1
8.812553,15.13408,4,0
12.22264,11.33782,5,0
16.18479,14.29076,2,0
12.8446,11.61027,1,0
13.60953,13.42772,5,1
12.69358,10.21487,0,0
15.025,11.85505,0,0
13.91299,12.69277,5,0
13.60802,9.07513,2,1
12.47179,13.01132,4,1
9.870624,12.40407,5,1
17.5951,7.335869,5,0
11.10299,11.11242,0,1
16.66206,14.40429,1,0
9.693037,11.00984,4,0
13.40353,13.00439,5,0
13.12842,10.58083,2,0
13.7408,10.07836,2,1
11.67779,11.12924,0,1
13.14523,11.81876,4,0
13.1237,11.84915,4,0
12.29844,11.88042,5,1
14.90404,12.763,5,0
11.53711,12.58766,0,1
12.87284,11.62384,2,0
11.04585,11.23151,3,1
15.77554,13.98787,5,1
12.90019,10.33882,0,0
12.31552,11.51159,5,1
9.794394,11.77236,2,0
12.65285,11.26382,2,0
