statename,rank,countryid,val2015,val2016,val2017,val2018
Alabama,0,World,19322.19,20471.18,21786.3,21349.24
Alabama,0,Top 25,17096,17963.47,19291.76,18820.76
Alabama,1,Canada,4072.1,4135.57,4198.04,4065.84
Alabama,2,China,3108.15,3268.05,3572.6,3045.65
Alabama,3,Mexico,2887.04,2632.87,2928.45,2575.62
Alabama,4,Germany,2478.4,3204.63,2948.25,2549.89
Alabama,5,Japan,519.43,540.17,700.05,821.18
Alabama,6,India,202.45,276.36,452.49,692.36
Alabama,7,Brazil,333.63,242.64,444.28,668.25
Alabama,8,"Korea, South",464.81,508.25,470.98,520.72
Alabama,9,Belgium,197.35,261.19,579.69,503.58
Alabama,10,France,447.79,421.93,411.39,433.66
Alabama,11,Netherlands,211.65,173.9,212.33,354.79
Alabama,12,United Kingdom,609.42,561.82,255.58,288.35
Alabama,13,Dominican Republic,127.71,153.06,157.48,246.79
Alabama,14,Argentina,79.37,53.66,111.57,235.8
Alabama,15,Australia,266.87,297.85,279.65,232.46
Alabama,16,Italy,131.1,116.94,283.4,210.8
Alabama,17,Austria,50.07,57.35,125.6,206.05
Alabama,18,Colombia,187.19,174.13,217.72,188.53
Alabama,19,United Arab Emirates,283.43,467.91,354.75,185.64
Alabama,20,Switzerland,26.08,27.66,98.72,144.63
Alabama,21,Chile,95.17,89.85,96.05,138.83
Alabama,22,Latvia,0.72,1.51,25.43,132.74
Alabama,23,Hong Kong,136.05,125.37,122.23,129.72
Alabama,24,Singapore,142.78,139.43,151.42,125.79
Alabama,25,Jamaica,37.22,31.39,93.6,123.08
Alaska,0,World,4620.07,4350.28,4942.47,4773.11
Alaska,0,Top 25,4539.63,4271.15,4797.96,4705.73
Alaska,1,China,1203.2,1184.21,1322.28,1019.18
Alaska,2,"Korea, South",733.19,731.63,675.39,885.85
Alaska,3,Japan,964.12,815.62,812.38,792.38
Alaska,4,Canada,419.21,484.84,706.94,647.12
Alaska,5,Netherlands,119.05,134.56,180.91,263.08
Alaska,6,Germany,279.24,256.92,181.78,208.58
Alaska,7,Spain,150.36,151.74,161.34,167.39
Alaska,8,Australia,85.8,73.55,158.55,132.03
Alaska,9,France,46.31,54.9,70.72,82.76
Alaska,10,Italy,56.65,30.99,67.69,73.5
Alaska,11,Belgium,49.36,37.35,60.51,70.39
Alaska,12,Singapore,21.3,8.67,31.75,57.51
Alaska,13,Finland,56.8,44.59,57.33,53.58
Alaska,14,Thailand,48.79,26.71,60.41,45.24
Alaska,15,Mexico,7.7,36.44,21.24,32.85
Alaska,16,Taiwan,104.82,29.23,50.66,25.63
Alaska,17,Poland,0.22,2.45,2.55,21.31
Alaska,18,United Kingdom,40.68,25.65,26.6,21.21
Alaska,19,Malaysia,105.95,84.67,86.57,20.19
Alaska,20,Ukraine,4.13,11.17,19.31,19.03
Alaska,21,Israel,0.54,5.32,0.83,19.02
Alaska,22,Lithuania,14.15,13.66,17.86,18.87
Alaska,23,Portugal,13.75,5.02,8.31,10.28
Alaska,24,Vietnam,5.94,12.75,11.02,9.91
Alaska,25,Indonesia,8.38,8.51,5.04,8.83
Arizona,0,World,22654.21,22003.21,20916.89,22388.34
Arizona,0,Top 25,21050.43,20514.39,19371.78,20494.36
Arizona,1,Mexico,9162,8285.2,7576.16,7649.76
Arizona,2,Canada,2303.25,2138.14,2154.11,2148.06
Arizona,3,China,1263.4,1210.33,1190.04,1193.59
Arizona,4,United Kingdom,1066.39,857.75,977.27,928.49
Arizona,5,Japan,545.16,635.77,604.33,753.25
Arizona,6,Germany,829.95,726.49,692.18,746.58
Arizona,7,Netherlands,423.7,419.18,377.85,612.73
Arizona,8,Thailand,602.1,493.68,545.94,583.24
Arizona,9,France,464,471.28,470,566.7
Arizona,10,Singapore,406.19,525.66,512.47,551.88
Arizona,11,Hong Kong,420.42,386.91,425.49,520.4
Arizona,12,Taiwan,430.59,396.21,492.95,505.54
Arizona,13,Brazil,435.29,439.98,389.1,500.98
Arizona,14,Malaysia,388.86,407.46,335.37,444.46
Arizona,15,Saudi Arabia,248.24,250.11,271.55,386.22
Arizona,16,"Korea, South",364.4,1306.21,349.72,371.25
Arizona,17,Israel,252.75,220.68,280.09,351.97
Arizona,18,Australia,225.08,240.9,242.22,308.93
Arizona,19,United Arab Emirates,202.74,284,575.26,290.87
Arizona,20,Ireland,255.63,243.96,184.57,229.18
Arizona,21,Switzerland,234.05,221.38,247.93,210.05
Arizona,22,Italy,345.4,156.84,170.77,201.3
Arizona,23,Turkey,41,54.22,128.37,183.93
Arizona,24,India,102.72,114.4,157.46,131.36
Arizona,25,Colombia,37.13,27.65,20.58,123.64
Arkansas,0,World,5870.91,5721.72,6234.39,6466.44
Arkansas,0,Top 25,4886.01,4724.44,5284.13,5449.54
Arkansas,1,Canada,1205.91,1163.64,1256.43,1207.21
Arkansas,2,Mexico,843.82,684.82,850.55,869.54
Arkansas,3,Saudi Arabia,60.24,56.04,76.06,397.33
Arkansas,4,France,464.94,783.24,728.11,325.66
Arkansas,5,China,202.61,274.65,367.89,314.61
Arkansas,6,"Korea, South",154.21,145.93,142.46,230.16
Arkansas,7,United Kingdom,169.63,142.82,249.74,205.58
Arkansas,8,Belgium,133.57,125.98,90.88,195.7
Arkansas,9,Hong Kong,100.49,112.57,122.16,179.19
Arkansas,10,Japan,531.55,280.68,192.29,167.55
Arkansas,11,Switzerland,6.05,71.15,160.48,125.23
Arkansas,12,Germany,102.63,77.28,89.77,123.47
Arkansas,13,Haiti,44.5,50.79,118.05,123.27
Arkansas,14,Taiwan,77.93,70.16,68.46,116.44
Arkansas,15,Singapore,251.45,184.35,130.42,109.76
Arkansas,16,Australia,89.28,144.77,79.9,106.08
Arkansas,17,Netherlands,118.7,99.61,137.39,103.61
Arkansas,18,British Virgin Islands,0.05,47.73,35.56,85.73
Arkansas,19,Brazil,132.82,59.96,116.57,78.34
Arkansas,20,Colombia,71.44,62.59,63.26,70.05
Arkansas,21,Guatemala,67.65,71.65,73.54,70
Arkansas,22,Austria,13.97,11.25,13.47,63.47
Arkansas,23,Bermuda,42.4,2.5,120.25,61.48
Arkansas,24,Monaco,0,0,0,60.06
Arkansas,25,Cayman Islands,0.14,0.27,0.45,60.03
California,0,World,165360.38,163438.92,172012.42,178404.77
California,0,Top 25,146633.22,145010.96,153536.91,159465.24
California,1,Mexico,26787.59,25260.27,26771.8,30738.73
California,2,Canada,17262.18,16232.79,16842.02,17750.23
California,3,China,14384.35,14322.97,16433.1,16345.09
California,4,Japan,11743.01,11765.13,12830.45,13099.54
California,5,"Korea, South",8683.48,8210.24,9601.9,9942.21
California,6,Hong Kong,8761.23,9661.92,12108.99,9905.79
California,7,Taiwan,7727.41,6983.14,6313.26,6824.24
California,8,Germany,5344.33,5351.07,6003.28,6594.37
California,9,Netherlands,5634.23,5458.36,5785.3,6433.77
California,10,India,4568.4,5129.31,5014.21,6117.42
California,11,United Kingdom,5150.06,5424.12,5030.38,5240.55
California,12,Singapore,3925.92,3889.33,4261.24,4435.31
California,13,Australia,3436.01,3369.44,3527.57,3526.85
California,14,France,2683.96,2985.23,3706.95,3327.14
California,15,Belgium,2940.9,2955.77,3184.24,2814.65
California,16,Malaysia,1824.14,1830.66,2085.05,2179.28
California,17,Switzerland,2008.05,2031.31,1988.19,2077.65
California,18,Israel,1790.5,2034.3,1968.04,1739.57
California,19,Italy,2011.69,1993.89,1647.52,1643.16
California,20,Vietnam,1247.2,2570.97,1383.61,1608.43
California,21,Thailand,1692.69,1492.31,1421.01,1526.72
California,22,United Arab Emirates,2425.22,1522.06,1515.99,1478.74
California,23,Spain,1675.29,1517.27,1403.99,1408.8
California,24,Brazil,1547.63,1641.43,1425.58,1380.97
California,25,Philippines,1377.75,1377.66,1283.22,1326.02
Colorado,0,World,7949.65,7580.72,8054.12,8317.25
Colorado,0,Top 25,6967.4,6749.28,7231.69,7511.98
Colorado,1,Canada,1408.4,1356.73,1390.32,1434.85
Colorado,2,Mexico,1077.44,1069.51,1315.87,1252.82
Colorado,3,China,658.76,589.46,585.83,577.55
Colorado,4,"Korea, South",332.78,400.02,388.98,493.62
Colorado,5,Japan,466.53,444.11,445.03,452.87
Colorado,6,Malaysia,356.02,366.65,417.28,391.94
Colorado,7,Netherlands,290.08,228.37,275.77,304.8
Colorado,8,Germany,261.65,326.31,313.71,301.25
Colorado,9,Hong Kong,237.98,207.05,233.73,243.2
Colorado,10,Taiwan,205.85,205.39,208.33,222.74
Colorado,11,United Kingdom,261.42,219.85,220.18,220.53
Colorado,12,Philippines,162.26,142.56,212.45,194.46
Colorado,13,Switzerland,249.98,230.35,171.01,191.05
Colorado,14,France,133.29,139.4,127.56,182.06
Colorado,15,Belgium,161.82,125.76,142.92,153.02
Colorado,16,Australia,155.2,142.84,168.59,146.37
Colorado,17,Brazil,98.35,102.55,120.18,141.96
