statename,rank,hs6,abbrevation,val2015,val2016,val2017,val2018
Alabama,0,0,World,19322.19,20471.18,21786.3,21349.24
Alabama,0,25,Top 25,11661.97,13280.16,14613.3,14513.64
Alabama,1,870323,PASS VEH SPK-IG INT COM R,3142.5,3539.32,3453.42,2751.68
Alabama,2,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",605.61,862.71,1141.84,2066.34
Alabama,3,870324,PASS VEH SPK-IG INT COM RCPR P ENG > 3000 CC,1669.7,1820.76,2177.04,1937.12
Alabama,4,270112,"BITUMINOUS COAL, NOT AGGLOMERATED",694.61,560.87,1404.36,1645.55
Alabama,5,870333,PASS VEH COM-IG INT COM ENG > 2500 CC,1760.87,2046.18,1692.03,1419.13
Alabama,6,840734,SPARK-IGNTN RECPRCTING PISTON ENGINE,353.12,488.47,555.17,492.95
Alabama,7,470321,"CHEMICAL WOODPULP, SODA ETC. N DIS S BL & BL CONIF",343.68,409.56,428.36,488.13
Alabama,8,390740,"POLYCARBONATES, PR FMS",510.04,379.01,359.44,444.82
Alabama,9,271019,PETROL OIL BITUM MINERA,121.46,320.51,189.14,373.2
Alabama,10,382499,"PRODUCTS AND RESIDUALS OF CHEMICAL INDUSTRY, NESOI",0,0,361.06,369.35
Alabama,11,481039,"KRAFT PPR/PBRD EX GRAPHIC, CLAY CTD UNBLCH RLL/",212.52,253.03,334.89,360.43
Alabama,12,870332,PASS VEH COM-IG INT COM,436.67,466.51,401.3,296.53
Alabama,13,930690,BOMB MINES OT AMMNTION,174.98,408.54,339.82,187.96
Alabama,14,20714,"CHICKEN CUTS AND EDIBLE OFFAL (INC LIVERS), FROZEN",168.06,159.93,164.67,176.97
Alabama,15,381519,"SUPPORTED CATALYSTS, NESOI",115.71,130.65,125.1,175.95
Alabama,16,870829,"PTS & ACCESS OF BODIES OF MOTOR VEHICLES, NESOI",123.58,132.51,150.93,171.31
Alabama,17,120190,"SOYBEANS, NESOI",237.99,287.85,209.53,154.05
Alabama,18,760612,"ALUMINUM ALLOY RECT PLATES ETC, OVER .2 MM THICK",238.71,190.44,179.23,151
Alabama,19,840820,COMPRESSION-IGNTN INT COMBUST,142.71,94.66,86.44,143.94
Alabama,20,722592,FLT-RLD ALLOY STL NESOI 600AO PLT/CTD ZINC NT ELCT,133.7,118.39,146.07,139.22
Alabama,21,721913,FR SS 600MM AO W HR CLS 3-UN 4.75MM THCK,60.04,218.01,263.83,124.15
