statename,rank,countryid,val2015,val2016,val2017,val2018
Alabama,0,World,21900.49,22133.6,23628.66,26220.73
Alabama,0,Top 25,19759.67,20161.65,21539.31,23803.01
Alabama,1,Mexico,2878.11,3177.14,3598.9,4200.95
Alabama,2,"Korea, South",4687.39,4527.06,3886.54,4055.44
Alabama,3,Germany,4109.56,3869.28,3853.48,3442.08
Alabama,4,Canada,2043.63,2075.59,2622.49,3120.41
Alabama,5,China,2183.15,1871.99,2244.9,2809.76
Alabama,6,France,166.08,231.6,632.25,866.38
Alabama,7,Japan,1015.32,824.9,804.42,829.27
Alabama,8,United Kingdom,243.08,319.29,428.31,718.94
Alabama,9,Iraq,217.07,534.68,719.49,682.51
Alabama,10,Vietnam,256.46,301.55,370.82,386.33
Alabama,11,Italy,167.1,188.78,203.26,296.15
Alabama,12,Brazil,173.89,197.03,273.88,269.37
Alabama,13,India,141.16,149.83,284.6,248.42
Alabama,14,Taiwan,188.73,136.99,174.85,221.81
Alabama,15,Russia,174.99,336.17,41.84,195.16
Alabama,16,Indonesia,91.68,160.22,183.76,180.28
Alabama,17,Honduras,170.29,104.07,149.45,162.3
Alabama,18,Czech Republic,239.78,222.94,173.82,161.54
Alabama,19,Colombia,176.04,264.59,119.16,152.96
Alabama,20,Spain,115.38,96.42,134.96,148.92
Alabama,21,Bangladesh,17.04,121,137.24,135.54
Alabama,22,Australia,135.92,106.45,151.43,135.38
Alabama,23,Netherlands,82.7,82.7,84.99,132.79
Alabama,24,Argentina,8.38,186.87,168.24,127.91
Alabama,25,Switzerland,76.75,74.49,96.23,122.43
Alaska,0,World,2493.66,2091.06,1731.74,1894.34
Alaska,0,Top 25,2454.81,2067.56,1690.3,1867.35
Alaska,1,"Korea, South",328.63,317.88,463.44,553.37
Alaska,2,Canada,611.82,477.53,455.77,517.52
Alaska,3,China,662.59,454.91,374.79,310.86
Alaska,4,Thailand,17.01,312.68,61.85,119.11
Alaska,5,Japan,528.41,80.81,65.63,97.89
Alaska,6,Malaysia,9.92,67.99,44.6,44.65
Alaska,7,Germany,15.89,13.16,13.72,33.83
Alaska,8,Taiwan,68.5,30.94,28.56,29.71
Alaska,9,Philippines,13.04,15.65,16.59,27.81
Alaska,10,Mexico,32.8,27.94,19.97,23.15
Alaska,11,United Kingdom,30.07,22.42,18.27,14.23
Alaska,12,Italy,11.17,6.41,3.93,11.36
Alaska,13,Singapore,28.24,65.14,2.79,10.7
Alaska,14,France,14.35,62.91,9.03,10.5
Alaska,15,Russia,46.87,75.9,83,8.83
Alaska,16,India,2.15,5.27,2.94,8.38
Alaska,17,Denmark,5.84,8.14,4.37,7.64
Alaska,18,Finland,5.08,2.25,3.58,5.43
Alaska,19,Australia,5.07,4.45,1.84,5.43
Alaska,20,Venezuela,0.01,0,0,5.05
Alaska,21,Argentina,2.58,2.3,3.89,4.73
Alaska,22,Austria,2,3.65,1.13,4.4
Alaska,23,Vietnam,1.64,2.84,2.86,4.33
Alaska,24,Norway,4.89,0.93,2.68,4.22
Alaska,25,Netherlands,6.28,5.47,5.08,4.21
Arizona,0,World,19751.72,19647.67,20546.6,22458.02
Arizona,0,Top 25,18918.87,18854.92,19679.36,21660.3
Arizona,1,Mexico,7640.55,7447.94,7915.32,9041.65
Arizona,2,China,2651.04,2555.48,2920.92,3403.03
Arizona,3,Canada,1512.07,1322.12,1450.73,1541.98
Arizona,4,Japan,749.11,675.29,1069.58,1178.4
Arizona,5,Germany,778.47,875.3,814.73,870.96
Arizona,6,Malaysia,750.73,677.81,504.63,728.04
Arizona,7,United Kingdom,670.22,561.26,633.4,608.71
Arizona,8,Taiwan,489.75,468.31,533.84,547.03
Arizona,9,Netherlands,443.2,593.72,289.3,516.45
Arizona,10,Italy,489.26,565.01,500.02,411.62
Arizona,11,Thailand,219.96,245.43,269.67,314.13
Arizona,12,France,437.71,457.12,688.94,314.07
Arizona,13,Peru,16.8,9.86,55.12,298.21
Arizona,14,India,224.4,213.93,238.36,246.61
Arizona,15,Brazil,500.14,874.48,427.99,226.08
Arizona,16,"Korea, South",307.03,193.6,177.01,220.67
Arizona,17,Vietnam,117.77,131.73,172.41,214.38
Arizona,18,Singapore,211.16,200.32,239.82,194.28
Arizona,19,Ireland,82.17,126.9,79.29,156.16
Arizona,20,Czech Republic,210.17,174.7,192.83,124.15
Arizona,21,Israel,77.75,114.16,118.98,117.74
Arizona,22,Philippines,91.37,90.13,88.87,109.42
Arizona,23,Switzerland,71.79,98.14,119.53,98.45
Arizona,24,Spain,85.13,89.55,83.92,96.38
Arizona,25,Australia,91.14,92.62,94.14,81.71
Arkansas,0,World,7911.66,7828.88,9293.93,11523.54
Arkansas,0,Top 25,7458.11,7385.1,8829.76,10955.71
Arkansas,1,China,2576.05,3058.59,3833.35,5167.37
Arkansas,2,France,1682.01,1414.81,1334.1,1318.3
Arkansas,3,Mexico,637.77,597.34,661.27,904.18
Arkansas,4,Canada,799.57,752.73,791.34,898.64
Arkansas,5,Germany,419.98,308.54,251.5,321.15
Arkansas,6,Vietnam,92.24,105.91,180.31,295.9
Arkansas,7,India,236.63,183.06,490.93,251.76
Arkansas,8,Japan,100.84,131.87,203.41,236.41
Arkansas,9,Indonesia,32.35,27.78,96.95,179.96
Arkansas,10,Taiwan,141.75,143.54,151.23,153.22
Arkansas,11,United Kingdom,92.57,58.69,94.34,136.91
Arkansas,12,Italy,117.13,96.78,134.54,132.77
Arkansas,13,Bangladesh,40.62,49.61,47.65,129.19
Arkansas,14,Cambodia,14.59,21.6,58.32,120.68
Arkansas,15,Thailand,38.2,46.92,86.52,106.88
Arkansas,16,Singapore,5.83,13.15,26.59,90.16
Arkansas,17,Malaysia,67.05,60.57,81.39,85.22
Arkansas,18,Israel,35.34,32.12,46.22,68.86
Arkansas,19,"Korea, South",129.36,91.64,39.89,58.76
Arkansas,20,Pakistan,41.4,42.82,44.99,55.33
Arkansas,21,Australia,28.53,17.01,42.7,52.42
Arkansas,22,Netherlands,44.11,46.8,33.39,50.54
Arkansas,23,Brazil,53.45,52.88,56.74,50.07
Arkansas,24,Norway,20.67,16.03,33.16,46.66
Arkansas,25,Jordan,10.05,14.3,8.92,44.37
California,0,World,408337.16,410172.8,440576.22,441166.09
California,0,Top 25,381877.85,383333.06,409125.94,408585.62
California,1,China,143635.67,144023.33,159142.19,161186.71
California,2,Mexico,45086.46,46345.06,46392.71,44053.81
California,3,Japan,38499.11,41327.12,40480.04,33633.15
